feedback_id,customer_id,order_id,feedback_date,rating,feedback_text,channel,_rescued_data
1,2107,14289,2025-10-29,3,Fair quality for the price point. The OceanCatch Organic Cereal is functional.,survey,
2,2444,14967,2026-01-27,4,Outstanding BrightPage Illustrated Tech. BrightPage has a customer for life.,social_media,
3,1414,13777,2025-08-31,4,Great value for the price. The StyleCraft Cozy Sweater exceeded my expectations.,email,
4,916,10052,2026-02-18,3,"Mixed feelings about this OpenChapter Classic Tech. Some features are good, others not so much.",email,
5,1900,9325,2025-06-20,5,Really impressed with the FreshFace quality. Highly recommend!,social_media,
6,1613,9153,2025-09-19,4,Absolutely love this FlexFit Grip Soccer! Quality is outstanding.,survey,
7,897,7923,2026-01-16,2,Extremely disappointed. The VelocityX Flex Running Gear fell apart quickly.,survey,
8,1233,6994,2025-10-19,4,The RadiantRose Radiant Tool arrived quickly and works great. Very satisfied.,social_media,
9,1454,1697,2025-08-19,4,Amazing RapidStride Flex Hiking from RapidStride. My whole family loves it.,survey,
10,2233,10243,2026-02-19,5,Impressive HarborHouse Artisan Storage. Shipping was fast and packaging was great.,chat,
11,976,14779,2025-07-27,5,Solid build quality on this FitForm Casual Hat. Very durable.,email,
12,1639,356,2025-11-12,5,Amazing HarborHouse Modern Storage from HarborHouse. My whole family loves it.,survey,
13,620,6023,2025-06-18,5,Really impressed with the NovaByte quality. Highly recommend!,social_media,
14,1123,6804,2026-02-23,2,The GoldenGrain Fresh Spice broke after two weeks. Not buying from GoldenGrain again.,survey,
15,1488,10788,2026-01-02,4,Amazing CoreMotion Peak Camping from CoreMotion. My whole family loves it.,social_media,
16,1455,5754,2025-08-25,5,Great value for the price. The PureAura Crystal Haircare exceeded my expectations.,social_media,
17,781,2037,2026-01-15,3,"The ApexDigital Mini Speaker is fine. Not great, not terrible.",social_media,
18,29,3848,2025-11-25,4,Very pleased with my purchase. The VelocityX Flex Running Gear is top notch.,chat,
19,88,13559,2025-06-06,4,Ive tried many similar products but this AquaPro Power Soccer from AquaPro is the best.,chat,
20,341,5049,2025-08-07,5,Very pleased with my purchase. The ClearView Ultra Cable is top notch.,social_media,
21,2018,12255,2025-12-11,4,Very pleased with my purchase. The GreenLeaf Athletic Dresse is top notch.,social_media,
22,1561,4842,2025-10-23,4,Very pleased with my purchase. The SilkEssence Revive Skincare is top notch.,email,
23,1379,8946,2025-12-29,5,Perfect ClearInk Modern Tech! Exactly as described and then some.,email,
24,2318,12849,2025-11-15,4,The ClearInk Pocket Tech has made such a difference. Highly recommend ClearInk.,email,
25,1695,11627,2025-12-11,2,Do not buy this PageTurn Classic Fiction. Horrible quality from PageTurn.,survey,
26,1702,999,2026-02-03,5,Bought this as a gift and they absolutely loved the EarthBite Artisan Spice.,chat,
27,309,820,2026-02-16,4,Best purchase Ive made this year. The CoreMotion Endurance Running Gear is fantastic.,survey,
28,1853,12871,2025-09-06,5,Amazing TrailBlaze Performance Dumbbell from TrailBlaze. My whole family loves it.,social_media,
29,117,1310,2026-01-12,4,Solid build quality on this StyleCraft Cozy Sweater. Very durable.,social_media,
30,889,10096,2026-03-16,2,Do not buy this CoreMotion Peak Camping. Horrible quality from CoreMotion.,social_media,
31,1448,7752,2025-06-13,5,Really impressed with the LuxeGlow quality. Highly recommend!,survey,
32,347,4435,2025-09-16,4,The AquaPro Flex Camping arrived quickly and works great. Very satisfied.,survey,
33,154,11292,2025-07-25,2,Save your money. This AquaBliss Hydra Sun Care from AquaBliss is not worth it.,chat,
34,139,895,2025-10-11,4,Love the design and functionality of this ApexDigital Premium Smartphone.,social_media,
35,1,4895,2025-12-04,3,The StoneBridge Deluxe Cookware is satisfactory. StoneBridge could do better.,survey,
36,1899,7505,2025-11-27,5,Great value for the price. The VelvetSkin Revive Fragrance exceeded my expectations.,survey,
37,2371,1288,2025-07-23,5,Solid build quality on this ElmHouse Compact Cleaning. Very durable.,survey,
38,1875,10173,2025-07-07,4,Very pleased with my purchase. The ClearInk Illustrated Children is top notch.,social_media,
39,145,1868,2025-10-14,5,Best purchase Ive made this year. The FlexFit Grip Basketball is fantastic.,chat,
40,1771,14120,2025-08-12,4,Outstanding StyleCraft Athletic Shoe. StyleCraft has a customer for life.,chat,
41,1410,1656,2025-12-14,5,Excellent craftsmanship on this SunRipe Artisan Baking. Worth every penny.,social_media,
42,2440,1807,2026-03-28,5,Amazing NorthTrail Slim Fit Jean from NorthTrail. My whole family loves it.,survey,
43,175,7525,2025-09-24,5,Ive tried many similar products but this FreshField Gourmet Baking from FreshField is the best.,social_media,
44,1916,543,2025-09-20,4,Really impressed with the MindPress quality. Highly recommend!,social_media,
45,1688,6108,2025-07-04,5,Bought this as a gift and they absolutely loved the CraftHaven Artisan Towel.,email,
46,1077,11794,2025-10-27,4,The MapleCrest Heritage Snack has made such a difference. Highly recommend MapleCrest.,social_media,
47,260,10050,2025-07-19,4,Bought this as a gift and they absolutely loved the AquaBliss Hydra Skincare.,social_media,
48,1702,3548,2026-01-10,3,Not bad but not amazing either. The FreshField Wild Supplement is middle of the road.,email,
49,769,3037,2025-06-12,5,Love the design and functionality of this BrightPage Advanced Fiction.,survey,
50,260,13189,2025-09-15,5,Absolutely love this MindPress Classic Tech! Quality is outstanding.,social_media,
51,1596,11083,2025-09-19,3,The AlpineEdge Flex Yoga Mat arrived on time. Quality is about what I expected.,survey,
52,315,14711,2025-06-21,5,Love the design and functionality of this MindPress Definitive Biography.,social_media,
53,1404,9640,2025-07-05,5,The AquaPro Power Soccer arrived quickly and works great. Very satisfied.,survey,
54,305,8791,2026-03-26,4,Wonderful quality. Will definitely order more from SignalMax.,survey,
55,363,14703,2026-02-08,3,The VoltStream Ultra Charger is satisfactory. VoltStream could do better.,chat,
56,1320,2522,2025-06-05,5,The TechVault Premium Cable has made such a difference. Highly recommend TechVault.,social_media,
57,786,10947,2025-06-13,5,Solid build quality on this VelvetSkin Hydra Sun Care. Very durable.,social_media,
58,7,5835,2025-09-04,3,Average quality BrightPage Beginner Fiction. Expected a bit more from BrightPage.,social_media,
59,246,11279,2025-12-10,5,Solid build quality on this CoreMotion Speed Bike. Very durable.,survey,
60,1946,973,2026-02-12,4,Excellent craftsmanship on this LuxeGlow Crystal Haircare. Worth every penny.,social_media,
61,1652,621,2025-10-12,4,Excellent craftsmanship on this TechVault Slim Smartphone. Worth every penny.,email,
62,1818,12911,2026-01-21,4,Fast shipping and the TechVault Slim Smartphone works perfectly. Would buy again.,social_media,
63,1785,7430,2026-01-10,4,Bought this as a gift and they absolutely loved the SignalMax Ultra Speaker.,email,
64,1142,2595,2025-07-04,2,The MindPress Definitive History arrived damaged. Customer service was unhelpful.,chat,
65,2479,12280,2026-03-21,5,Great value for the price. The IronPeak Impact Basketball exceeded my expectations.,email,
66,358,6463,2025-10-28,5,Outstanding DeepRead Pocket Fiction. DeepRead has a customer for life.,chat,
67,1975,158,2025-10-28,4,The StoneBridge Deluxe Cookware arrived quickly and works great. Very satisfied.,email,
68,459,10437,2025-11-09,4,Very pleased with my purchase. The CoreMotion Speed Bike is top notch.,email,
69,982,10492,2025-11-11,5,Best purchase Ive made this year. The EarthBite Artisan Spice is fantastic.,chat,
70,2462,13588,2025-08-26,5,Impressive CraftHaven Natural Storage. Shipping was fast and packaging was great.,social_media,
71,243,11475,2025-12-08,5,Impressive PureStitch Classic Jean. Shipping was fast and packaging was great.,chat,
72,310,14142,2025-10-11,4,Very pleased with my purchase. The VelvetSkin Hydra Sun Care is top notch.,chat,
73,109,2723,2026-03-01,5,Fast shipping and the PureComfort Smart Decor works perfectly. Would buy again.,email,
74,1390,10888,2025-09-13,3,Decent SunRipe Artisan Dairy from SunRipe. Would consider alternatives next time.,survey,
75,2414,1325,2025-06-26,4,Excellent craftsmanship on this SilkEssence Revive Skincare. Worth every penny.,social_media,
76,2400,3203,2025-08-26,5,Solid build quality on this GreenHarvest Farm Fresh Beverage. Very durable.,chat,
77,1841,11959,2026-02-19,4,Impressive EarthBite Farm Fresh Canned. Shipping was fast and packaging was great.,social_media,
78,641,5095,2026-03-25,4,Impressive ApexDigital Mini Speaker. Shipping was fast and packaging was great.,email,
79,814,9825,2025-12-04,3,Okay purchase. The TrailBlaze Performance Dumbbell could use some improvements.,email,
80,1176,7982,2025-06-01,4,Fast shipping and the PureComfort Heritage Rug works perfectly. Would buy again.,chat,
81,673,14790,2025-07-05,3,Fair quality for the price point. The FlexFit Grip Soccer is functional.,survey,
82,2165,12284,2025-07-26,5,Impressive PageTurn Comprehensive Children. Shipping was fast and packaging was great.,survey,
83,1967,5993,2026-03-18,5,Wonderful quality. Will definitely order more from OpenChapter.,email,
84,400,7308,2025-06-07,5,Very pleased with my purchase. The LuxeGlow Bloom Set is top notch.,social_media,
85,2264,3867,2025-07-03,2,Returned this NorthTrail Slim Fit Jean immediately. Complete waste of money.,social_media,
86,1564,13281,2025-10-24,4,Ive tried many similar products but this HarborHouse Heritage Towel from HarborHouse is the best.,email,
87,984,58,2025-11-27,4,Super happy with this MindPress Pocket Science. MindPress never disappoints.,email,
88,1480,11365,2026-02-16,4,Bought this as a gift and they absolutely loved the StoneBridge Heritage Storage.,social_media,
89,14,10143,2026-02-07,5,Super happy with this ClearInk Pocket Tech. ClearInk never disappoints.,email,
