product_id,product_name,category,subcategory,brand,supplier_id,cost_price,list_price,weight_kg,is_active,_rescued_data
1,ClearView Ultra Cable,electronics,Cables,ClearView,13,109.9,172.85,7.1,False,
2,ApexDigital Max Laptop,electronics,Laptops,ApexDigital,18,113.2,159.04,24.18,True,
3,NovaByte Advanced Camera,electronics,Cameras,NovaByte,12,164.37,301.75,10.57,True,
4,DataPulse Lite Smartphone,electronics,Smartphones,DataPulse,13,70.14,134.7,13.96,True,
5,PixelEdge Advanced Charger,electronics,Chargers,PixelEdge,1,11.68,24.09,3.99,True,
6,NovaByte Plus Cable,electronics,Cables,NovaByte,10,92.25,215.69,11.51,True,
7,VoltStream Advanced Smartphone,electronics,Smartphones,VoltStream,8,48.54,121.54,19.55,False,
8,ApexDigital Premium Smartphone,electronics,Smartphones,ApexDigital,19,91.47,255.36,19.03,True,
9,NovaByte Plus Camera,electronics,Cameras,NovaByte,3,72.6,124.24,13.76,True,
10,ApexDigital Mini Speaker,electronics,Speakers,ApexDigital,14,56.37,71.23,10.93,True,
11,ZenithTech Ultra Charger,electronics,Chargers,ZenithTech,14,174.34,315.16,12.34,True,
12,ZenithTech Lite Speaker,electronics,Speakers,ZenithTech,7,13.86,33.32,19.91,True,
13,SignalMax Ultra Speaker,electronics,Speakers,SignalMax,5,103.24,294.13,16.43,True,
14,TechVault Slim Smartphone,electronics,Smartphones,TechVault,7,73.15,197.71,8.72,True,
15,VoltStream Mini Headphone,electronics,Headphones,VoltStream,16,99.01,161.93,16.96,True,
16,VoltStream Ultra Cable,electronics,Cables,VoltStream,18,120.42,179.38,10.45,True,
17,PixelEdge Pro Charger,electronics,Chargers,PixelEdge,12,171.16,249.63,16.65,True,
18,ZenithTech Elite Speaker,electronics,Speakers,ZenithTech,2,9.64,12.57,8.62,True,
19,TechVault Premium Cable,electronics,Cables,TechVault,13,119.3,261.39,5.3,True,
20,SignalMax Advanced Charger,electronics,Chargers,SignalMax,1,104.45,150.74,9.5,True,
21,CoreWave Max Headphone,electronics,Headphones,CoreWave,3,107.6,278.73,1.58,True,
22,SignalMax Elite Speaker,electronics,Speakers,SignalMax,16,35.69,62.56,23.43,False,
23,NovaByte Mini Speaker,electronics,Speakers,NovaByte,9,198.36,440.26,16.13,True,
24,ApexDigital Slim Smartwatche,electronics,Smartwatches,ApexDigital,20,104.84,219.51,4.95,True,
25,PixelEdge Slim Smartwatche,electronics,Smartwatches,PixelEdge,1,70.68,142.36,8.25,True,
26,PixelEdge Max Tablet,electronics,Tablets,PixelEdge,13,12.28,19.7,23.85,True,
27,VoltStream Ultra Charger,electronics,Chargers,VoltStream,2,40.97,54.98,9.29,True,
28,NovaByte Advanced Speaker,electronics,Speakers,NovaByte,1,170.91,256.16,21.57,True,
29,NovaByte Lite Camera,electronics,Cameras,NovaByte,6,83.5,106.73,13.6,True,
30,ThreadBound Vintage Dresse,clothing,Dresses,ThreadBound,20,100.12,219.86,19.31,True,
31,ThreadBound Relaxed T-Shirt,clothing,T-Shirts,ThreadBound,13,79.42,122.99,2.16,True,
