order_id,customer_id,product_id,order_date,quantity,unit_price,discount_pct,shipping_cost,order_status,payment_method,store_id,inserted_at,_rescued_data
15001,307,71,2026-04-12 09:15:47,4,205.47,0.114,16.94,completed,debit_card,8,2026-04-10 00:07:59.992645,
15002,1980,92,2026-04-15 19:40:01,5,406.23,0.1143,19.68,pending,apple_pay,1,2026-04-10 00:07:59.992645,
15003,1032,113,2026-04-13 04:51:23,6,256.13,0.06,18.2,returned,credit_card,7,2026-04-10 00:07:59.992645,
15004,1475,176,2026-04-16 23:52:48,1,467.11,0.0572,10.88,returned,paypal,3,2026-04-10 00:07:59.992645,
15005,884,167,2026-04-07 14:53:59,9,157.24,0.1262,26.3,completed,credit_card,8,2026-04-10 00:07:59.992645,
15006,2300,68,2026-04-09 19:43:56,4,271.82,0.0719,13.24,returned,debit_card,2,2026-04-10 00:07:59.992645,
15007,1313,156,2026-04-10 18:13:26,7,69.83,0.1682,27.4,completed,credit_card,9,2026-04-10 00:07:59.992645,
15008,1207,186,2026-04-13 06:02:11,7,199.59,0.0887,8.11,returned,debit_card,6,2026-04-10 00:07:59.992645,
15009,193,123,2026-04-09 03:30:13,3,205.06,0.0652,4.26,returned,apple_pay,4,2026-04-10 00:07:59.992645,
15010,2207,7,2026-04-26 04:01:58,8,463.98,0.1086,19.92,shipped,debit_card,5,2026-04-10 00:07:59.992645,
15011,672,167,2026-04-18 04:05:47,6,285.63,0.0203,13.49,completed,apple_pay,10,2026-04-10 00:07:59.992645,
15012,138,164,2026-04-21 19:39:27,6,474.42,0.0442,20.7,completed,debit_card,1,2026-04-10 00:07:59.992645,
15013,1091,24,2026-04-28 02:05:43,4,362.87,0.1534,9.23,pending,credit_card,5,2026-04-10 00:07:59.992645,
15014,412,14,2026-04-23 23:13:14,8,495.13,0.0736,18.48,shipped,credit_card,7,2026-04-10 00:07:59.992645,
15015,1270,156,2026-04-04 03:22:21,9,447.95,0.0662,25.19,returned,credit_card,7,2026-04-10 00:07:59.992645,
15016,947,78,2026-04-09 21:02:12,6,396.2,0.0955,12.0,returned,credit_card,10,2026-04-10 00:07:59.992645,
15017,1680,37,2026-04-02 09:14:27,8,282.6,0.045,17.72,shipped,paypal,10,2026-04-10 00:07:59.992645,
15018,12,130,2026-04-28 10:17:57,4,340.25,0.0977,12.59,returned,debit_card,9,2026-04-10 00:07:59.992645,
15019,36,155,2026-04-18 14:58:05,8,27.24,0.1071,16.08,pending,debit_card,8,2026-04-10 00:07:59.992645,
15020,1696,107,2026-04-09 01:42:08,3,246.82,0.0685,7.08,completed,apple_pay,5,2026-04-10 00:07:59.992645,
15021,1071,185,2026-04-02 17:46:15,9,73.98,0.0719,19.22,returned,debit_card,8,2026-04-10 00:07:59.992645,
15022,2382,137,2026-04-19 08:36:36,3,113.71,0.0196,5.9,pending,debit_card,5,2026-04-10 00:07:59.992645,
15023,1150,63,2026-04-17 02:07:35,1,447.37,0.0221,19.32,pending,apple_pay,6,2026-04-10 00:07:59.992645,
15024,1564,106,2026-04-19 05:43:57,2,357.36,0.0366,19.48,shipped,paypal,8,2026-04-10 00:07:59.992645,
15025,802,169,2026-04-24 06:18:01,4,465.35,0.0403,26.9,pending,debit_card,4,2026-04-10 00:07:59.992645,
15026,2394,10,2026-04-09 01:31:58,5,285.26,0.0052,19.68,completed,paypal,9,2026-04-10 00:07:59.992645,
15027,2108,26,2026-04-03 18:39:14,7,206.29,0.1113,23.26,returned,paypal,10,2026-04-10 00:07:59.992645,
15028,130,136,2026-04-04 10:42:50,2,431.36,0.0643,23.36,completed,apple_pay,7,2026-04-10 00:07:59.992645,
15029,631,104,2026-04-11 17:39:51,2,336.03,0.059,7.04,returned,paypal,9,2026-04-10 00:07:59.992645,
15030,954,164,2026-04-24 21:45:19,8,60.08,0.0326,22.62,returned,paypal,6,2026-04-10 00:07:59.992645,
15031,2224,88,2026-04-10 23:05:31,5,354.36,0.1928,24.08,returned,paypal,6,2026-04-10 00:07:59.992645,
15032,2444,31,2026-04-10 00:32:58,4,105.65,0.0934,8.31,shipped,paypal,4,2026-04-10 00:07:59.992645,
15033,2399,58,2026-04-30 02:50:03,3,489.89,0.1334,13.76,returned,apple_pay,1,2026-04-10 00:07:59.992645,
15034,1012,127,2026-04-29 20:00:35,3,481.08,0.029,21.52,shipped,debit_card,2,2026-04-10 00:07:59.992645,
15035,2363,13,2026-04-11 17:34:31,5,294.47,0.017,17.98,returned,credit_card,10,2026-04-10 00:07:59.992645,
15036,417,140,2026-04-08 15:26:29,8,133.45,0.152,22.66,completed,debit_card,8,2026-04-10 00:07:59.992645,
15037,824,92,2026-04-10 22:59:00,6,384.37,0.0703,12.41,shipped,debit_card,8,2026-04-10 00:07:59.992645,
15038,1078,18,2026-04-07 13:48:58,8,496.26,0.1207,27.5,returned,apple_pay,6,2026-04-10 00:07:59.992645,
15039,1909,58,2026-04-03 19:55:32,3,391.11,0.0825,14.7,returned,credit_card,10,2026-04-10 00:07:59.992645,
15040,2251,146,2026-04-09 06:19:20,8,478.06,0.1888,13.83,shipped,paypal,6,2026-04-10 00:07:59.992645,
15041,1698,63,2026-04-30 14:32:19,1,227.05,0.0649,27.92,returned,debit_card,3,2026-04-10 00:07:59.992645,
15042,1146,147,2026-04-26 09:03:43,7,264.59,0.1457,18.13,shipped,debit_card,1,2026-04-10 00:07:59.992645,
15043,951,70,2026-04-23 05:12:03,1,311.42,0.1177,23.99,shipped,paypal,9,2026-04-10 00:07:59.992645,
15044,494,151,2026-04-05 17:37:47,7,444.03,0.1001,5.43,returned,apple_pay,5,2026-04-10 00:07:59.992645,
15045,1779,190,2026-04-24 10:52:37,9,320.4,0.1768,11.17,completed,credit_card,1,2026-04-10 00:07:59.992645,
15046,923,157,2026-04-01 06:00:40,7,14.95,0.0203,22.56,pending,credit_card,6,2026-04-10 00:07:59.992645,
15047,917,16,2026-04-21 04:53:20,2,66.81,0.1414,17.08,shipped,credit_card,10,2026-04-10 00:07:59.992645,
15048,2247,82,2026-04-17 08:19:03,9,253.39,0.04,19.27,returned,paypal,9,2026-04-10 00:07:59.992645,
15049,1349,153,2026-04-01 17:37:24,1,240.81,0.1342,12.55,completed,credit_card,1,2026-04-10 00:07:59.992645,
15050,526,172,2026-04-19 03:18:32,4,452.31,0.101,3.14,returned,credit_card,7,2026-04-10 00:07:59.992645,
15051,969,58,2026-04-14 13:09:50,2,389.12,0.1853,10.34,returned,paypal,9,2026-04-10 00:07:59.992645,
15052,1881,121,2026-04-18 15:16:33,2,296.5,0.047,3.82,returned,credit_card,9,2026-04-10 00:07:59.992645,
15053,406,103,2026-04-08 07:50:54,8,131.83,0.1397,18.68,returned,debit_card,8,2026-04-10 00:07:59.992645,
15054,2349,46,2026-04-25 16:10:48,9,501.09,0.0691,9.45,returned,debit_card,4,2026-04-10 00:07:59.992645,
15055,1324,122,2026-04-01 15:43:27,8,377.14,0.0795,12.22,returned,debit_card,9,2026-04-10 00:07:59.992645,
15056,679,91,2026-04-30 15:47:39,8,30.99,0.0904,24.84,returned,debit_card,7,2026-04-10 00:07:59.992645,
15057,117,136,2026-04-18 20:57:42,2,171.43,0.0777,18.45,returned,apple_pay,7,2026-04-10 00:07:59.992645,
15058,487,13,2026-04-26 19:04:26,9,266.03,0.1516,23.68,returned,apple_pay,2,2026-04-10 00:07:59.992645,
15059,931,145,2026-04-20 00:06:48,6,103.9,0.139,15.45,pending,debit_card,4,2026-04-10 00:07:59.992645,
15060,2003,115,2026-04-16 06:42:52,1,19.8,0.0855,18.01,completed,debit_card,10,2026-04-10 00:07:59.992645,
15061,2374,25,2026-04-02 05:10:28,4,468.3,0.0405,15.91,returned,credit_card,4,2026-04-10 00:07:59.992645,
15062,526,187,2026-04-19 08:16:11,3,374.92,0.1855,13.27,returned,credit_card,4,2026-04-10 00:07:59.992645,
15063,930,111,2026-04-21 08:06:09,1,42.6,0.0441,8.89,shipped,debit_card,6,2026-04-10 00:07:59.992645,
15064,1136,133,2026-04-15 04:28:38,9,293.36,0.1855,15.22,completed,debit_card,1,2026-04-10 00:07:59.992645,
15065,229,81,2026-04-03 00:59:16,7,177.28,0.1662,27.51,pending,apple_pay,4,2026-04-10 00:07:59.992645,
15066,1995,176,2026-04-28 08:09:54,1,237.79,0.0701,12.98,returned,debit_card,2,2026-04-10 00:07:59.992645,
15067,1380,124,2026-04-28 09:24:43,5,220.83,0.1407,4.17,completed,paypal,10,2026-04-10 00:07:59.992645,
15068,1825,45,2026-04-02 10:18:21,2,351.91,0.1156,11.64,completed,apple_pay,6,2026-04-10 00:07:59.992645,
15069,2287,187,2026-04-01 10:10:14,5,213.58,0.0938,10.21,returned,apple_pay,6,2026-04-10 00:07:59.992645,
15070,1541,96,2026-04-21 05:53:39,4,393.33,0.0517,4.12,returned,credit_card,9,2026-04-10 00:07:59.992645,
15071,1856,50,2026-04-08 22:04:45,7,30.08,0.0192,3.48,pending,debit_card,10,2026-04-10 00:07:59.992645,
15072,2035,112,2026-04-13 20:33:21,5,258.24,0.0153,15.86,completed,credit_card,3,2026-04-10 00:07:59.992645,
15073,290,115,2026-04-21 05:06:28,7,80.92,0.1978,27.15,returned,debit_card,7,2026-04-10 00:07:59.992645,
15074,1542,165,2026-04-09 15:41:59,6,219.68,0.1586,16.63,completed,debit_card,3,2026-04-10 00:07:59.992645,
15075,1491,195,2026-04-30 09:00:36,3,459.81,0.0878,6.48,returned,apple_pay,10,2026-04-10 00:07:59.992645,
15076,603,93,2026-04-24 17:54:04,9,121.62,0.091,9.56,returned,paypal,9,2026-04-10 00:07:59.992645,
15077,1301,160,2026-04-06 07:38:32,6,503.83,0.0043,21.53,returned,debit_card,8,2026-04-10 00:07:59.992645,
15078,1978,56,2026-04-27 03:01:46,5,124.0,0.1898,15.54,shipped,credit_card,3,2026-04-10 00:07:59.992645,
15079,2333,93,2026-04-15 07:19:42,5,475.49,0.0013,25.64,returned,debit_card,10,2026-04-10 00:07:59.992645,
15080,442,179,2026-04-08 08:33:58,8,433.96,0.0481,19.89,pending,debit_card,8,2026-04-10 00:07:59.992645,
15081,197,109,2026-04-23 23:04:29,2,177.05,0.1557,4.49,returned,debit_card,7,2026-04-10 00:07:59.992645,
15082,2439,167,2026-04-11 22:51:41,7,298.1,0.086,24.79,returned,apple_pay,1,2026-04-10 00:07:59.992645,
15083,361,4,2026-04-08 22:39:03,3,362.26,0.1607,6.31,completed,debit_card,7,2026-04-10 00:07:59.992645,
15084,2380,32,2026-04-19 21:43:29,1,237.56,0.0143,20.26,returned,debit_card,6,2026-04-10 00:07:59.992645,
15085,248,185,2026-04-21 08:53:47,2,289.06,0.0994,20.47,completed,apple_pay,3,2026-04-10 00:07:59.992645,
15086,1313,4,2026-04-19 10:25:04,8,389.85,0.1503,19.25,returned,paypal,4,2026-04-10 00:07:59.992645,
15087,1941,10,2026-04-24 09:21:57,5,384.44,0.1944,24.68,pending,credit_card,7,2026-04-10 00:07:59.992645,
15088,1209,145,2026-04-23 08:41:54,7,400.86,0.0793,9.28,pending,credit_card,8,2026-04-10 00:07:59.992645,
15089,743,140,2026-04-06 15:04:06,5,403.31,0.0398,19.23,shipped,apple_pay,7,2026-04-10 00:07:59.992645,
